MAIN TERM,,,
EggLand's,Egg-Land's,Egg-Lland's,
Eggo,Eggo -,"Eggo,",
El Guapo,"El Guapo,",,
El Mexicano,"El Mexicano,",,
El Pato,"Elpato,",,
Emerald,"Emerald,",,
Energy,"Energy,",,
Entenmann's,Entenmanns,,
EnviroKidz,Environkidz,,
Equate,Equate -,"Equate,",
Famous Dave's,"Famous Dave's,",,
Farms,"Farms,",,
Flatbread,"Flatbread,",,
Flavor,"Flavor,",,
Folgers,"Folgers,",,
Food,"Food,",,
Foods,"Foods,",Foods -,
Foster Farms,"Foster Farms,",,
Frank's,"Frank's,",Franks,
Freeze,"Freeze,",,
French's,"French's,",,
Frigo,"Frigo,",,
Frito-Lay,"Frito Lay,",Frito Lay,Frito Lay's
Frito-Lay,"Frito Lay,",Frito Lay,Frito Lay's
Frosting,"Frosting,",,
Gamesa,Gamesa -,"Gamesa,",
Gardetto's,Gardettos,,
General Mills,"General Mills,",,
Gevalia,"Gevalia,",,
Ghirardelli,Ghiradelli,,
Global Deer,"Global Deer,",,
Glory Foods,"Glory Foods,",,
Goodfields,"Goodfields,",,
Gorton's,Gortons,Gortons -,
Goya,"Goya,",,
Grape-Nuts,Grape Nuts,GrapeNuts,
Great Value,Great Value -,"Great Value,",
GT'S,"Gt's,",,
Haagen Dazs,"Haagen Dazs,",Haagen-Dazs,
Hampton Farms,"Hampton Farms,",,
Hansen's,Hansens,,
Haribo,"Haribo,",,
Hash Browns,hashbrowns,,
Hawaiian,"Hawaiian,",,
Healthy Choice,"Healthy Choice,",,
Heinz,"Heinz,",,
Hemp2o,"Hemp2o,",,
Hershey's,Hershey 's,Hershey,Hershey;s
Hershey's,Hersheys,,
Hidden Valley,"Hidden Valley,",,
Hills Bros,Hills Bros.,,
Hillshire Farm,Hillshire Farms,,
Hines,"Hines,",,
Hodgson Mill,HODGSON MILLS,,
Honeycomb,Honey Comb,Honey-Comb,
Hormel,Hormel -,"Hormel,",
Hospitality,Hospitality -,,
Hot House,Hothouse,,
Hungry-Man,Hungry Man,,
Hunt's,Hunts,,
Imperial,"Imperial,",,
Init,"Init,",,
InnovAsian Cuisine,InnovAsian Cuisine -,,
It's It,It S-it,,
Jack Daniel's,"Jack Daniel's,",Jack Daniels,
Jack Link's,Jack Links,"Jack Link's,",
Jell-O,Jell O,JellO,
JHC,"JHC,",,
Jiffy,"Jiffy,",,
Jimmy Dean,Jimmy Dean -,,
Johnsonville,Johnsonvilles,,
Juanita's,Juanitas,,
Juice,"Juice,",,
Juicy Juice,"Juicy Juice,",,
Kashi,"Kashi,",,
Kaukauna,Kaukauna -,,
Kaukauna Cheese,"Kaukauna Cheese,",,
Keebler,"Keebler,",,
Kellogg's,Kellog's,Kelloggs,
Kellogg's,"Kellogg's,",,
Kern's,Kerns,Kern,
Kernel Season's,Kernel Seasons,,
Ketchup,"Ketchup,",,
Keurig,"Keurig,",,
Keurig Hot,"Keurig Hot,",,
Kevita,"Kevita,",Kevita -,
Kid Cuisine,Kid Cuisine:,,
Kikkoman,"Kikkoman,",,
Kind,"Kind,",,
KIND Bars,"KIND Bars,",Kind Bar -,
Kind Plus,"Kind Plus,",,
King's Hawaiian,Kings Hawaiian,,
Kirkland,Kirkland's,,
Kirkland Signature,"Kirkland Signature,",Kirkland Signature's,
Knott's Berry Farm,"Knott's Berry Farm,",,
Knudsen,"Knudsen,",,
Kona Coast,"Kona Coast,",,
Kool-Aid,Kool Aid,,
Kozy Shack,"Kozy Shack,","Kozy-Shack,",Kozy-Shack
Kraft,"Kraft,",Kraft -,
Krusteaz,"Krusteaz,",,
L&W,L & W,,
La Choy,"La Choy,",,
La Victoria,"La Victoria,",,
Lala,"Lala,",,
Land O Lakes,"Land O Lakes,",,
Land O Lakes,Land O' Lakes,Land OLakes,Land O'Lakes
Lawry's,"Lawry's,",,
Lay's,Lays,,
Lay's Stax,"Lay's Stax,",,
Lean Cuisine,"Lean Cuisin,",,
Libby's,"Libby's,",Libbys,
Light,"Light,",,
Lipton Green Tea,"Lipton Green Tea,",,
Lipton Iced Tea,"Lipton Iced Tea,",,
Lipton Tea,"Lipton Tea,",,
Luck's,"Luck's,",,
M&M's,M & M's,,
Mahatma,"Mahatma,",,
Maizena,"Maizena,",,
Malt-O-Meal,"Malt-O-Meal,",,
Mangoes,Mangos,,
Margaret Holmes,"Margaret Holmes,",,
Marie Callender's,Marie Calendar,Marie Callenders,
Marie's Dressing,"Marie's Dressing,",,
Market Pantry,"Market Pantry,",,
Martha White,"Martha White,",,
Maxwell House,"Maxwell House,",,
McCormick,"McCormick,",McCormick's,Mc Cormick
Mezzetta,"Mezzetta,",,
Michelina's,"Michelina's,",Michelina -,Michelina's -
Milk,"Milk,",,
Miller's Honey,Millers Honey,,
mix,"mix,",,
Monster Energy,"Monster Energy,",,
Morning Star Farms,"Morning Star Farms,",,
MorningStar,Morning Star,,
Mott's,"Mott's,",Motts,
Mr & Mrs T,"Mr & Mrs T,",,
Mrs. Butterworth,Mrs. Butterworth's,,
Muscle Milk,"Muscle Milk,",,
Mustard,"Mustard,",,
Mustard,"Mustard,",,
Nabisco,"Nabisco,",Nabico -,Nabisco -
Nature Made,"Nature Made,",,
Nature Nate's,"Nature Nate's,",,
Nature's Way,"Nature's Way,",,
Nestle,Neslte,,
Nestle Coffee-Mate,"Nestle Coffee-Mate,",,
Nestle Toll House,NESTLE TOLL HOUSE -,,
O Organics,"O Organics,","O Organic,",O-Organics
of the Sea,"of the Sea,",,
Old Home,"Old Home,",,
Old World Flavor,"Old World Flavor,",,
Organic,"Organic,",,
Organics,Organics Organics,,
Original,"Original,",,
Oroweat,"Oroweat,",,
Ortega,"Ortega,",,
Oscar Mayer,"Oscar Mayer,",,
pasta,"pasta,",,
Pasta Roni,"Pasta Roni,",,
Patak's Original Mild,"Patak's Original Mild,",,
Patties,"Patties,",,
Peet's,Peets,,
Peet's Coffee,"Peet's Coffee,",Peet's Coffee.,
Pepperidge Farm,Pepperidge Farm -,,
Philadelphia,"Philadelphia,",,
Phillips',Phillips,,
Planters,"Planters,",,
Plochman's,"Plochman's,",,
plus,"plus,",,
Pop-Tarts,"Pop-Tarts,",Pop Tarts,
Pork,"Pork,",,
pork chops,pork chop,,
Premium Quality,"Premium Quality,",,
Price's,"Price's,",,
Progresso Soup,"Progresso Soup,",,
Pudding,"Pudding,",,
Pure Leaf,"Pure Leaf,",,
Purely Fancy Fast,"Purely Fancy Fast,",,
Purina,"Purina,",,
Quaker,"Quaker,",,
Quaker Oh's,"Quaker Oh's,",,
Red Hot,"RedHot,",RedHot,
Red Lobster,"Red Lobster,",,
Red Vines,Red Vines-,,
Reese's,"Reese's,",Reeses,
rib eye,rib-eye,ribeye,
Rice A Roni,"Rice A Roni ,",,
rolls,"rolls,",,
Rondele,Rondel_,,
S&B,S & B,,
S&W,S & W,,
Santiam,"Santiam,",,
Sara Lee,Sara Lee -,,
Schar,Schar:,"Schar,",
Seattle's Best,"Seattle's Best,",,
Shan,"Shan,",,
shank,shanks,,
Siggi's,Siggis,,
Signature Select,"Signature Select,",,
Smucker's,Smuckers,"Smucker's,",
Snyder's,Snyders,,
Soda,"Soda,",,
Soup,"Soup,",,
Stauffer's,Stauffers,,
Stephen's,Stephens,Stephon's,
Stouffer's,Stouffers,,
strip,"strip,",,
Sun-Maid,Sun Maid,SunMaid,
Sunbelt Bakery,"Sunbelt Bakery,",,
Sunnyside Farms Milk,Sunnyside Milk,,
Sunnyside Farms Vitamin,Sunnyside Vitamin,,
Swanson,"Swanson,",,
Sweet 'N Low,"Sweet 'N Low,",,
Sweet Baby Ray's,"Sweet Baby Ray's,",,
Swiss Miss,"Swiss Miss,",,
Tang,"Tang,",,
Taquitos,"Taquitos,",,
Tea,"Tea,",,
Texas-Texas,Texas - Texas,Texas Texas,
thinkThin,Think Thin,,
Thomas',Thomas,,
Tim's,Tims,,
Tina's,Tinas,,
Tomatoes,Tomato,Tomatoe,
Tone's,Tones,,
Tostitos,"Tostitos,",,
Trader Joe's,"Trader Joe's,",,
Trappey's,"Trappeys,",Trappeys,Trappey
Tree Top,TreeTop,,
Tropicana,"Tropicana,",,
Turkey,"Turkey,",,
Udi's,Udis,,
Veg-All,"Veg-All,",,
Veggie Munchies,"Veggies Munchies,",,
Veggies,"Veggies,",,
Velveeta,"Velveeta,",,
Vicky's,Vickys,,
Water,"Water,",,
Welch's,"Welch's,",,
Whiskey,Whisky,,
wipes,"wipes,",,
Yogurt,"Yogurt,",Yoghurt,"Yoghurt,"
Yoplait,"Yoplait,",,
Zatarain's,Zatarains,,
Tim Tam,TimTam,,
